time,cw,cc,i,cw unscaled,cc unscaled,iunscaled
6/5/2016 18:30,-0.027985592,-0.033564782,-0.031796088,-0.093285307,-0.111882607,-0.10598696
6/5/2016 18:45,-0.027985592,-0.035808876,-0.033654416,-0.093285307,-0.11936292,-0.112181387
6/5/2016 19:00,-0.026004643,-0.034552613,-0.032614108,-0.086682143,-0.115175377,-0.108713693
6/5/2016 19:15,-0.02657132,-0.03392985,-0.0320984,-0.088571067,-0.1130995,-0.106994667
6/5/2016 19:30,-0.026169318,-0.033296349,-0.0315738,-0.08723106,-0.11098783,-0.105246
6/5/2016 19:45,-0.025321724,-0.035540444,-0.033432128,-0.084405747,-0.118468147,-0.111440427
6/5/2016 20:00,-0.025321724,-0.029269864,-0.028239478,-0.084405747,-0.097566213,-0.094131593
6/5/2016 20:15,-0.023340774,-0.034906943,-0.032907528,-0.07780258,-0.116356477,-0.10969176
6/5/2016 20:30,-0.024876131,-0.031331424,-0.029946651,-0.082920437,-0.10443808,-0.09982217
6/5/2016 20:45,-0.026852237,-0.031331424,-0.029946651,-0.089507457,-0.10443808,-0.09982217
6/5/2016 21:00,-0.024876131,-0.030440229,-0.029208654,-0.082920437,-0.10146743,-0.09736218
6/5/2016 21:15,-0.025321724,-0.032319256,-0.030764671,-0.084405747,-0.107730853,-0.102548903
6/5/2016 21:30,-0.024474129,-0.032587688,-0.030986959,-0.08158043,-0.108625627,-0.103289863
6/5/2016 21:45,-0.026169318,-0.033210451,-0.031502667,-0.08723106,-0.110701503,-0.10500889
6/5/2016 22:00,-0.023340774,-0.031685755,-0.030240071,-0.07780258,-0.105619183,-0.100800237
6/5/2016 22:15,-0.024474129,-0.033564782,-0.031796088,-0.08158043,-0.111882607,-0.10598696
6/5/2016 22:30,-0.024755046,-0.031685755,-0.030240071,-0.08251682,-0.105619183,-0.100800237
6/5/2016 22:45,-0.024474129,-0.036517538,-0.034241257,-0.08158043,-0.121725127,-0.114137523
6/5/2016 23:00,-0.023340774,-0.034638511,-0.03268524,-0.07780258,-0.115461703,-0.1089508
6/5/2016 23:15,-0.025321724,-0.040909091,-0.03787789,-0.084405747,-0.136363637,-0.126259633
6/5/2016 23:30,-0.023340774,-0.034015748,-0.032169532,-0.07780258,-0.113385827,-0.107231773
6/5/2016 23:45,-0.025035963,-0.038396564,-0.035797273,-0.08345321,-0.127988547,-0.119324243
6/6/2016 0:00,-0.023907452,-0.034638511,-0.03268524,-0.079691507,-0.115461703,-0.1089508
6/6/2016 0:15,-0.023786367,-0.037956335,-0.035432721,-0.07928789,-0.126521117,-0.11810907
6/6/2016 0:30,-0.024353044,-0.031062992,-0.029724363,-0.081176813,-0.103543307,-0.09908121
6/6/2016 0:45,-0.025200639,-0.030440229,-0.029208654,-0.08400213,-0.10146743,-0.09736218
6/6/2016 1:00,-0.025321724,-0.031062992,-0.029724363,-0.084405747,-0.103543307,-0.09908121
6/6/2016 1:15,-0.024633961,-0.037322835,-0.034908121,-0.082113203,-0.12440945,-0.116360403
6/6/2016 1:30,-0.024067284,-0.036517538,-0.034241257,-0.08022428,-0.121725127,-0.114137523
6/6/2016 1:45,-0.024914878,-0.029634932,-0.02854179,-0.083049593,-0.098783107,-0.0951393
6/6/2016 2:00,-0.024067284,-0.033564782,-0.031796088,-0.08022428,-0.111882607,-0.10598696
6/6/2016 2:15,-0.025762473,-0.030708661,-0.029430943,-0.08587491,-0.102362203,-0.098103143
6/6/2016 2:30,-0.025762473,-0.030526127,-0.029279787,-0.08587491,-0.101753757,-0.09759929
6/6/2016 2:45,-0.026895828,-0.033661417,-0.031876111,-0.08965276,-0.112204723,-0.106253703
6/6/2016 3:00,-0.024633961,-0.03114889,-0.029795495,-0.082113203,-0.103829633,-0.099318317
6/6/2016 3:15,-0.025762473,-0.031417323,-0.030017783,-0.08587491,-0.10472441,-0.100059277
6/6/2016 3:30,-0.024914878,-0.035175376,-0.033129816,-0.083049593,-0.117251253,-0.11043272
6/6/2016 3:45,-0.026895828,-0.032319256,-0.030764671,-0.08965276,-0.107730853,-0.102548903
