----------------------------------------------
PZ-CW TotHead [m]: 
    2016/06/03 19:15:00 430.375500 
    2016/06/03 19:30:00 430.373750 
    2016/06/03 19:45:00 430.378750 
    2016/06/03 20:00:00 430.378750 
    2016/06/03 20:15:00 430.380750 
    2016/06/03 20:30:00 430.377250 
    2016/06/03 20:45:00 430.379000 
    2016/06/03 21:00:00 430.384000 
    2016/06/03 21:15:00 430.384250 
    2016/06/03 21:30:00 430.384250 
    2016/06/03 21:45:00 430.384250 
    2016/06/03 22:00:00 430.389500 
    2016/06/03 22:15:00 430.384500 
    2016/06/03 22:30:00 430.382750 
    2016/06/03 22:45:00 430.382500 
    2016/06/03 23:00:00 430.381000 
    2016/06/03 23:15:00 430.380750 
    2016/06/03 23:30:00 430.380500 
    2016/06/03 23:45:00 430.380250 
    2016/06/04 00:00:00 430.380250 
    2016/06/04 00:15:00 430.378750 
    2016/06/04 00:30:00 430.383750 
    2016/06/04 00:45:00 430.385750 
    2016/06/04 01:00:00 430.389250 
    2016/06/04 01:15:00 430.392750 
    2016/06/04 01:30:00 430.396250 
    2016/06/04 01:45:00 430.398000 
    2016/06/04 02:00:00 430.396250 
    2016/06/04 02:15:00 430.394500 
    2016/06/04 02:30:00 430.394500 
    2016/06/04 02:45:00 430.399500 
    2016/06/04 03:00:00 430.398000 
    2016/06/04 03:15:00 430.401250 
    2016/06/04 03:30:00 430.400000 
    2016/06/04 03:45:00 430.401500 
    2016/06/04 04:00:00 430.401250 
    2016/06/04 04:15:00 430.403000 
    2016/06/04 04:30:00 430.405000 
    2016/06/04 04:45:00 430.403000 
    2016/06/04 05:00:00 430.401500 
    2016/06/04 05:15:00 430.403000 
    2016/06/04 05:30:00 430.406750 
    2016/06/04 05:45:00 430.411750 
    2016/06/04 06:00:00 430.413750 
    2016/06/04 06:15:00 430.413750 
    2016/06/04 06:30:00 430.415250 
    2016/06/04 06:45:00 430.413750 
    2016/06/04 07:00:00 430.412000 
    2016/06/04 07:15:00 430.415250 
    2016/06/04 07:30:00 430.420750 
    2016/06/04 07:45:00 430.420750 
    2016/06/04 08:00:00 430.421000 
    2016/06/04 08:15:00 430.424250 
    2016/06/04 08:30:00 430.426250 
    2016/06/04 08:45:00 430.429500 
    2016/06/04 09:00:00 430.427750 
    2016/06/04 09:15:00 430.429750 
    2016/06/04 09:30:00 430.428000 
    2016/06/04 09:45:00 430.434750 
    2016/06/04 10:00:00 430.433250 
    2016/06/04 10:15:00 430.434750 
    2016/06/04 10:30:00 430.435000 
    2016/06/04 10:45:00 430.437000 
    2016/06/04 11:00:00 430.434750 
    2016/06/04 11:15:00 430.440500 
    2016/06/04 11:30:00 430.444000 
    2016/06/04 11:45:00 430.443750 
    2016/06/04 12:00:00 430.442250 
    2016/06/04 12:15:00 430.440500 
    2016/06/04 12:30:00 430.443750 
    2016/06/04 12:45:00 430.445500 
    2016/06/04 13:00:00 430.441750 
    2016/06/04 13:15:00 430.441750 
    2016/06/04 13:30:00 430.445500 
    2016/06/04 13:45:00 430.445500 
    2016/06/04 14:00:00 430.445750 
    2016/06/04 14:15:00 430.447000 
    2016/06/04 14:30:00 430.445500 
    2016/06/04 14:45:00 430.445250 
    2016/06/04 15:00:00 430.441750 
    2016/06/04 15:15:00 430.443500 
    2016/06/04 15:30:00 430.443500 
    2016/06/04 15:45:00 430.438500 
    2016/06/04 16:00:00 430.440000 
    2016/06/04 16:15:00 430.440000 
    2016/06/04 16:30:00 430.438250 
    2016/06/04 16:45:00 430.438250 
    2016/06/04 17:00:00 430.440250 
    2016/06/04 17:15:00 430.442000 
    2016/06/04 17:30:00 430.440000 
    2016/06/04 17:45:00 430.440250 
    2016/06/04 18:00:00 430.440250 
    2016/06/04 18:15:00 430.438500 
    2016/06/04 18:30:00 430.440000 
    2016/06/04 18:45:00 430.438250 
    2016/06/04 19:00:00 430.438250 
    2016/06/04 19:15:00 430.435000 
    2016/06/04 19:30:00 430.436500 
    2016/06/04 19:45:00 430.436500 
    2016/06/04 20:00:00 430.438250 
    2016/06/04 20:15:00 430.438500 
    2016/06/04 20:30:00 430.433250 
    2016/06/04 20:45:00 430.433250 
    2016/06/04 21:00:00 430.433250 
    2016/06/04 21:15:00 430.434750 
    2016/06/04 21:30:00 430.431000 
    2016/06/04 21:45:00 430.427750 
    2016/06/04 22:00:00 430.431250 
    2016/06/04 22:15:00 430.433000 
    2016/06/04 22:30:00 430.428000 
    2016/06/04 22:45:00 430.429250 
    2016/06/04 23:00:00 430.427750 
    2016/06/04 23:15:00 430.426000 
    2016/06/04 23:30:00 430.424250 
    2016/06/04 23:45:00 430.425750 
    2016/06/05 00:00:00 430.423750 
    2016/06/05 00:15:00 430.420500 
    2016/06/05 00:30:00 430.418750 
    2016/06/05 00:45:00 430.418750 
    2016/06/05 01:00:00 430.422000 
    2016/06/05 01:15:00 430.418750 
    2016/06/05 01:30:00 430.419000 
    2016/06/05 01:45:00 430.415000 
    2016/06/05 02:00:00 430.411500 
    2016/06/05 02:15:00 430.413000 
    2016/06/05 02:30:00 430.409500 
    2016/06/05 02:45:00 430.404000 
    2016/06/05 03:00:00 430.405750 
    2016/06/05 03:15:00 430.402000 
    2016/06/05 03:30:00 430.402000 
    2016/06/05 03:45:00 430.402000 
    2016/06/05 04:00:00 430.402000 
    2016/06/05 04:15:00 430.400250 
    2016/06/05 04:30:00 430.400250 
    2016/06/05 04:45:00 430.398500 
    2016/06/05 05:00:00 430.394750 
    2016/06/05 05:15:00 430.400000 
    2016/06/05 05:30:00 430.396750 
    2016/06/05 05:45:00 430.400000 
    2016/06/05 06:00:00 430.400250 
    2016/06/05 06:15:00 430.400000 
    2016/06/05 06:30:00 430.402000 
    2016/06/05 06:45:00 430.396500 
