----------------------------------------------
PZ-Out TotHead [m]: 
    2016/06/06 02:30:00 428.611750 
    2016/06/06 02:45:00 428.612000 
    2016/06/06 03:00:00 428.612000 
    2016/06/06 03:15:00 428.609420 
    2016/06/06 03:30:00 428.609420 
    2016/06/06 03:45:00 428.606170 
    2016/06/06 04:00:00 428.611750 
    2016/06/06 04:15:00 428.609920 
    2016/06/06 04:30:00 428.609920 
    2016/06/06 04:45:00 428.611750 
    2016/06/06 05:00:00 428.610250 
    2016/06/06 05:15:00 428.610250 
    2016/06/06 05:30:00 428.612000 
    2016/06/06 05:45:00 428.610500 
    2016/06/06 06:00:00 428.610000 
    2016/06/06 06:15:00 428.612000 
    2016/06/06 06:30:00 428.614340 
    2016/06/06 06:45:00 428.618670 
    2016/06/06 07:00:00 428.618670 
    2016/06/06 07:15:00 428.626000 
    2016/06/06 07:30:00 428.620750 
    2016/06/06 07:45:00 428.622500 
    2016/06/06 08:00:00 428.619250 
    2016/06/06 08:15:00 428.621340 
    2016/06/06 08:30:00 428.619590 
    2016/06/06 08:45:00 428.617840 
    2016/06/06 09:00:00 428.616340 
    2016/06/06 09:15:00 428.612840 
    2016/06/06 09:30:00 428.611090 
    2016/06/06 09:45:00 428.605840 
    2016/06/06 10:00:00 428.609340 
    2016/06/06 10:15:00 428.609090 
    2016/06/06 10:30:00 428.604090 
    2016/06/06 10:45:00 428.603840 
    2016/06/06 11:00:00 428.602340 
    2016/06/06 11:15:00 428.600590 
    2016/06/06 11:30:00 428.598840 
    2016/06/06 11:45:00 428.597340 
    2016/06/06 12:00:00 428.597920 
    2016/06/06 12:15:00 428.595090 
    2016/06/06 12:30:00 428.597920 
    2016/06/06 12:45:00 428.594170 
    2016/06/06 13:00:00 428.590090 
    2016/06/06 13:15:00 428.590340 
    2016/06/06 13:30:00 428.594170 
    2016/06/06 13:45:00 428.590420 
    2016/06/06 14:00:00 428.593920 
    2016/06/06 14:15:00 428.593920 
    2016/06/06 14:30:00 428.594170 
    2016/06/06 14:45:00 428.593920 
    2016/06/06 15:00:00 428.592750 
    2016/06/06 15:15:00 428.588920 
    2016/06/06 15:30:00 428.589500 
    2016/06/06 15:45:00 428.593000 
    2016/06/06 16:00:00 428.593000 
    2016/06/06 16:15:00 428.594500 
    2016/06/06 16:30:00 428.593000 
    2016/06/06 16:45:00 428.595090 
    2016/06/06 17:00:00 428.596840 
    2016/06/06 17:15:00 428.596590 
    2016/06/06 17:30:00 428.598340 
    2016/06/06 17:45:00 428.600670 
    2016/06/06 18:00:00 428.597420 
    2016/06/06 18:15:00 428.595670 
    2016/06/06 18:30:00 428.595670 
    2016/06/06 18:45:00 428.598000 
    2016/06/06 19:00:00 428.599500 
    2016/06/06 19:15:00 428.599750 
    2016/06/06 19:30:00 428.599500 
    2016/06/06 19:45:00 428.598590 
    2016/06/06 20:00:00 428.596840 
    2016/06/06 20:15:00 428.601840 
    2016/06/06 20:30:00 428.598590 
    2016/06/06 20:45:00 428.599840 
    2016/06/06 21:00:00 428.601590 
    2016/06/06 21:15:00 428.598590 
    2016/06/06 21:30:00 428.601840 
    2016/06/06 21:45:00 428.598340 
    2016/06/06 22:00:00 428.596840 
    2016/06/06 22:15:00 428.600090 
    2016/06/06 22:30:00 428.602170 
    2016/06/06 22:45:00 428.600420 
    2016/06/06 23:00:00 428.596840 
    2016/06/06 23:15:00 428.596840 
    2016/06/06 23:30:00 428.597420 
    2016/06/06 23:45:00 428.598920 
    2016/06/07 00:00:00 428.599170 
    2016/06/07 00:15:00 428.600670 
    2016/06/07 00:30:00 428.602420 
    2016/06/07 00:45:00 428.600920 
    2016/06/07 01:00:00 428.602170 
    2016/06/07 01:15:00 428.600670 
    2016/06/07 01:30:00 428.602670 
    2016/06/07 01:45:00 428.600670 
    2016/06/07 02:00:00 428.604750 
    2016/06/07 02:15:00 428.603000 
    2016/06/07 02:30:00 428.601250 
    2016/06/07 02:45:00 428.599500 
    2016/06/07 03:00:00 428.603000 
    2016/06/07 03:15:00 428.602750 
    2016/06/07 03:30:00 428.601500 
    2016/06/07 03:45:00 428.603000 
    2016/06/07 04:00:00 428.603590 
    2016/06/07 04:15:00 428.603340 
    2016/06/07 04:30:00 428.603590 
    2016/06/07 04:45:00 428.601590 
    2016/06/07 05:00:00 428.598590 
    2016/06/07 05:15:00 428.601840 
    2016/06/07 05:30:00 428.600090 
    2016/06/07 05:45:00 428.600670 
    2016/06/07 06:00:00 428.603920 
    2016/06/07 06:15:00 428.600420 
    2016/06/07 06:30:00 428.599500 
    2016/06/07 06:45:00 428.596000 
    2016/06/07 07:00:00 428.593670 
    2016/06/07 07:15:00 428.596000 
    2016/06/07 07:30:00 428.597750 
    2016/06/07 07:45:00 428.596000 
    2016/06/07 08:00:00 428.594250 
    2016/06/07 08:15:00 428.594250 
    2016/06/07 08:30:00 428.592500 
    2016/06/07 08:45:00 428.590750 
    2016/06/07 09:00:00 428.589000 
    2016/06/07 09:15:00 428.590750 
    2016/06/07 09:30:00 428.583170 
    2016/06/07 09:45:00 428.584920 
    2016/06/07 10:00:00 428.586670 
    2016/06/07 10:15:00 428.584920 
    2016/06/07 10:30:00 428.583170 
    2016/06/07 10:45:00 428.584590 
    2016/06/07 11:00:00 428.584590 
    2016/06/07 11:15:00 428.580500 
    2016/06/07 11:30:00 428.580500 
    2016/06/07 11:45:00 428.578750 
    2016/06/07 12:00:00 428.580500 
    2016/06/07 12:15:00 428.583750 
    2016/06/07 12:30:00 428.579920 
    2016/06/07 12:45:00 428.584000 
    2016/06/07 13:00:00 428.581670 
    2016/06/07 13:15:00 428.578170 
    2016/06/07 13:30:00 428.578420 
    2016/06/07 13:45:00 428.577590 
    2016/06/07 14:00:00 428.581590 
    2016/06/07 14:15:00 428.583090 
    2016/06/07 14:30:00 428.586590 
