----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/04 22:45:00 428.174420 
    2016/06/04 23:00:00 428.172090 
    2016/06/04 23:15:00 428.173250 
    2016/06/04 23:30:00 428.179090 
    2016/06/04 23:45:00 428.175250 
    2016/06/05 00:00:00 428.175250 
    2016/06/05 00:15:00 428.176750 
    2016/06/05 00:30:00 428.179920 
    2016/06/05 00:45:00 428.178170 
    2016/06/05 01:00:00 428.177920 
    2016/06/05 01:15:00 428.175590 
    2016/06/05 01:30:00 428.175250 
    2016/06/05 01:45:00 428.177590 
    2016/06/05 02:00:00 428.171750 
    2016/06/05 02:15:00 428.175250 
    2016/06/05 02:30:00 428.173500 
    2016/06/05 02:45:00 428.174920 
    2016/06/05 03:00:00 428.176670 
    2016/06/05 03:15:00 428.174670 
    2016/06/05 03:30:00 428.174670 
    2016/06/05 03:45:00 428.172920 
    2016/06/05 04:00:00 428.175250 
    2016/06/05 04:15:00 428.176420 
    2016/06/05 04:30:00 428.172920 
    2016/06/05 04:45:00 428.173500 
    2016/06/05 05:00:00 428.171170 
    2016/06/05 05:15:00 428.173500 
    2016/06/05 05:30:00 428.171750 
    2016/06/05 05:45:00 428.173500 
    2016/06/05 06:00:00 428.175250 
    2016/06/05 06:15:00 428.172920 
    2016/06/05 06:30:00 428.172920 
    2016/06/05 06:45:00 428.170000 
    2016/06/05 07:00:00 428.172340 
    2016/06/05 07:15:00 428.170000 
    2016/06/05 07:30:00 428.166170 
    2016/06/05 07:45:00 428.167670 
    2016/06/05 08:00:00 428.165340 
    2016/06/05 08:15:00 428.167340 
    2016/06/05 08:30:00 428.162090 
    2016/06/05 08:45:00 428.165340 
    2016/06/05 09:00:00 428.163250 
    2016/06/05 09:15:00 428.163250 
    2016/06/05 09:30:00 428.162090 
    2016/06/05 09:45:00 428.161250 
    2016/06/05 10:00:00 428.163840 
    2016/06/05 10:15:00 428.162920 
    2016/06/05 10:30:00 428.161750 
    2016/06/05 10:45:00 428.160920 
    2016/06/05 11:00:00 428.161750 
    2016/06/05 11:15:00 428.159170 
