----------------------------------------------
PZ-Bank TotHead [m]: 
    2016/06/04 10:30:00 429.051000 
    2016/06/04 10:45:00 429.051000 
    2016/06/04 11:00:00 429.049500 
    2016/06/04 11:15:00 429.049500 
    2016/06/04 11:30:00 429.049500 
    2016/06/04 11:45:00 429.049500 
    2016/06/04 12:00:00 429.032340 
    2016/06/04 12:15:00 429.037590 
    2016/06/04 12:30:00 429.041920 
    2016/06/04 12:45:00 429.044000 
    2016/06/04 13:00:00 429.044000 
    2016/06/04 13:15:00 429.040750 
    2016/06/04 13:30:00 429.044000 
    2016/06/04 13:45:00 429.042500 
    2016/06/04 14:00:00 429.042500 
    2016/06/04 14:15:00 429.044250 
    2016/06/04 14:30:00 429.044000 
    2016/06/04 14:45:00 429.044000 
    2016/06/04 15:00:00 429.040170 
    2016/06/04 15:15:00 429.040750 
    2016/06/04 15:30:00 429.038420 
    2016/06/04 15:45:00 429.041670 
    2016/06/04 16:00:00 429.040170 
    2016/06/04 16:15:00 429.042750 
    2016/06/04 16:30:00 429.040170 
    2016/06/04 16:45:00 429.038420 
    2016/06/04 17:00:00 429.041670 
    2016/06/04 17:15:00 429.041920 
    2016/06/04 17:30:00 429.040170 
    2016/06/04 17:45:00 429.041920 
    2016/06/04 18:00:00 429.039920 
    2016/06/04 18:15:00 429.041670 
    2016/06/04 18:30:00 429.041670 
    2016/06/04 18:45:00 429.043420 
    2016/06/04 19:00:00 429.043670 
    2016/06/04 19:15:00 429.041920 
    2016/06/04 19:30:00 429.040170 
    2016/06/04 19:45:00 429.041670 
    2016/06/04 20:00:00 429.041670 
    2016/06/04 20:15:00 429.043670 
    2016/06/04 20:30:00 429.041670 
    2016/06/04 20:45:00 429.040170 
    2016/06/04 21:00:00 429.043420 
    2016/06/04 21:15:00 429.041920 
    2016/06/04 21:30:00 429.039920 
    2016/06/04 21:45:00 429.041670 
    2016/06/04 22:00:00 429.045170 
    2016/06/04 22:15:00 429.043670 
    2016/06/04 22:30:00 429.041670 
    2016/06/04 22:45:00 429.043420 
    2016/06/04 23:00:00 429.041670 
    2016/06/04 23:15:00 429.045170 
    2016/06/04 23:30:00 429.044590 
    2016/06/04 23:45:00 429.041340 
    2016/06/05 00:00:00 429.043090 
    2016/06/05 00:15:00 429.042840 
    2016/06/05 00:30:00 429.044840 
    2016/06/05 00:45:00 429.043090 
    2016/06/05 01:00:00 429.042840 
    2016/06/05 01:15:00 429.042840 
    2016/06/05 01:30:00 429.040750 
    2016/06/05 01:45:00 429.046000 
    2016/06/05 02:00:00 429.042500 
    2016/06/05 02:15:00 429.044250 
    2016/06/05 02:30:00 429.042500 
    2016/06/05 02:45:00 429.042170 
    2016/06/05 03:00:00 429.042170 
    2016/06/05 03:15:00 429.045420 
    2016/06/05 03:30:00 429.043670 
    2016/06/05 03:45:00 429.045420 
    2016/06/05 04:00:00 429.043670 
    2016/06/05 04:15:00 429.043670 
    2016/06/05 04:30:00 429.043090 
    2016/06/05 04:45:00 429.043090 
    2016/06/05 05:00:00 429.043090 
    2016/06/05 05:15:00 429.043090 
    2016/06/05 05:30:00 429.043670 
    2016/06/05 05:45:00 429.041340 
    2016/06/05 06:00:00 429.041340 
    2016/06/05 06:15:00 429.039590 
    2016/06/05 06:30:00 429.043090 
    2016/06/05 06:45:00 429.041340 
    2016/06/05 07:00:00 429.041340 
    2016/06/05 07:15:00 429.041340 
    2016/06/05 07:30:00 429.036340 
    2016/06/05 07:45:00 429.039590 
    2016/06/05 08:00:00 429.033750 
    2016/06/05 08:15:00 429.034000 
    2016/06/05 08:30:00 429.032250 
    2016/06/05 08:45:00 429.035500 
    2016/06/05 09:00:00 429.032250 
    2016/06/05 09:15:00 429.032250 
    2016/06/05 09:30:00 429.030500 
    2016/06/05 09:45:00 429.032000 
    2016/06/05 10:00:00 429.028170 
    2016/06/05 10:15:00 429.026670 
    2016/06/05 10:30:00 429.028420 
    2016/06/05 10:45:00 429.028170 
    2016/06/05 11:00:00 429.026090 
    2016/06/05 11:15:00 429.025840 
    2016/06/05 11:30:00 429.022590 
    2016/06/05 11:45:00 429.029340 
    2016/06/05 12:00:00 429.036090 
    2016/06/05 12:15:00 429.038340 
    2016/06/05 12:30:00 429.038090 
    2016/06/05 12:45:00 429.036340 
    2016/06/05 13:00:00 429.031340 
    2016/06/05 13:15:00 429.031340 
    2016/06/05 13:30:00 429.033340 
    2016/06/05 13:45:00 429.031840 
    2016/06/05 14:00:00 429.033590 
    2016/06/05 14:15:00 429.031250 
    2016/06/05 14:30:00 429.034750 
    2016/06/05 14:45:00 429.033000 
    2016/06/05 15:00:00 429.034750 
    2016/06/05 15:15:00 429.036500 
    2016/06/05 15:30:00 429.039750 
    2016/06/05 15:45:00 429.040590 
    2016/06/05 16:00:00 429.043840 
    2016/06/05 16:15:00 429.043840 
    2016/06/05 16:30:00 429.041840 
    2016/06/05 16:45:00 429.040090 
    2016/06/05 17:00:00 429.038090 
    2016/06/05 17:15:00 429.036000 
    2016/06/05 17:30:00 429.041590 
    2016/06/05 17:45:00 429.039840 
    2016/06/05 18:00:00 429.038340 
    2016/06/05 18:15:00 429.040170 
    2016/06/05 18:30:00 429.045670 
    2016/06/05 18:45:00 429.043920 
    2016/06/05 19:00:00 429.045670 
    2016/06/05 19:15:00 429.049750 
    2016/06/05 19:30:00 429.045670 
    2016/06/05 19:45:00 429.050920 
    2016/06/05 20:00:00 429.049420 
    2016/06/05 20:15:00 429.047420 
    2016/06/05 20:30:00 429.050670 
    2016/06/05 20:45:00 429.047170 
    2016/06/05 21:00:00 429.045670 
    2016/06/05 21:15:00 429.045920 
    2016/06/05 21:30:00 429.047420 
    2016/06/05 21:45:00 429.045420 
    2016/06/05 22:00:00 429.047420 
    2016/06/05 22:15:00 429.045420 
    2016/06/05 22:30:00 429.043920 
    2016/06/05 22:45:00 429.047170 
    2016/06/05 23:00:00 429.047170 
    2016/06/05 23:15:00 429.047170 
    2016/06/05 23:30:00 429.043340 
    2016/06/05 23:45:00 429.045090 
    2016/06/06 00:00:00 429.045090 
    2016/06/06 00:15:00 429.044840 
    2016/06/06 00:30:00 429.044840 
    2016/06/06 00:45:00 429.044840 
    2016/06/06 01:00:00 429.044840 
    2016/06/06 01:15:00 429.044840 
    2016/06/06 01:30:00 429.046590 
    2016/06/06 01:45:00 429.043090 
    2016/06/06 02:00:00 429.041590 
    2016/06/06 02:15:00 429.041590 
    2016/06/06 02:30:00 429.042840 
    2016/06/06 02:45:00 429.041340 
    2016/06/06 03:00:00 429.043090 
    2016/06/06 03:15:00 429.041090 
    2016/06/06 03:30:00 429.041090 
    2016/06/06 03:45:00 429.039590 
    2016/06/06 04:00:00 429.042840 
    2016/06/06 04:15:00 429.041590 
    2016/06/06 04:30:00 429.041590 
    2016/06/06 04:45:00 429.042840 
    2016/06/06 05:00:00 429.041340 
    2016/06/06 05:15:00 429.039590 
    2016/06/06 05:30:00 429.041340 
    2016/06/06 05:45:00 429.038090 
    2016/06/06 06:00:00 429.039340 
    2016/06/06 06:15:00 429.041340 
    2016/06/06 06:30:00 429.043090 
    2016/06/06 06:45:00 429.041590 
    2016/06/06 07:00:00 429.040420 
    2016/06/06 07:15:00 429.045420 
    2016/06/06 07:30:00 429.040170 
    2016/06/06 07:45:00 429.041920 
    2016/06/06 08:00:00 429.040420 
    2016/06/06 08:15:00 429.042500 
    2016/06/06 08:30:00 429.042500 
    2016/06/06 08:45:00 429.044250 
    2016/06/06 09:00:00 429.046840 
    2016/06/06 09:15:00 429.034000 
    2016/06/06 09:30:00 429.039250 
    2016/06/06 09:45:00 429.041590 
    2016/06/06 10:00:00 429.039840 
    2016/06/06 10:15:00 429.039590 
    2016/06/06 10:30:00 429.036340 
    2016/06/06 10:45:00 429.034340 
    2016/06/06 11:00:00 429.032840 
    2016/06/06 11:15:00 429.032840 
    2016/06/06 11:30:00 429.031090 
    2016/06/06 11:45:00 429.029590 
    2016/06/06 12:00:00 429.026090 
    2016/06/06 12:15:00 429.027340 
    2016/06/06 12:30:00 429.027840 
    2016/06/06 12:45:00 429.025840 
    2016/06/06 13:00:00 429.022340 
    2016/06/06 13:15:00 429.022590 
    2016/06/06 13:30:00 429.025840 
    2016/06/06 13:45:00 429.023840 
    2016/06/06 14:00:00 429.025590 
    2016/06/06 14:15:00 429.027340 
    2016/06/06 14:30:00 429.024090 
    2016/06/06 14:45:00 429.023840 
    2016/06/06 15:00:00 429.022090 
    2016/06/06 15:15:00 429.024670 
    2016/06/06 15:30:00 429.021170 
