----------------------------------------------
PZ-In TotHead [m]: 
    2016/06/04 21:15:00 428.466833 
    2016/06/04 21:30:00 428.469417 
    2016/06/04 21:45:00 428.469250 
    2016/06/04 22:00:00 428.469417 
    2016/06/04 22:15:00 428.470000 
    2016/06/04 22:30:00 428.471000 
    2016/06/04 22:45:00 428.470333 
    2016/06/04 23:00:00 428.469333 
    2016/06/04 23:15:00 428.473500 
    2016/06/04 23:30:00 428.471667 
    2016/06/04 23:45:00 428.470000 
    2016/06/05 00:00:00 428.468000 
    2016/06/05 00:15:00 428.471167 
    2016/06/05 00:30:00 428.469417 
    2016/06/05 00:45:00 428.465250 
    2016/06/05 01:00:00 428.464083 
    2016/06/05 01:15:00 428.462167 
    2016/06/05 01:30:00 428.461000 
    2016/06/05 01:45:00 428.461750 
    2016/06/05 02:00:00 428.461000 
    2016/06/05 02:15:00 428.459250 
    2016/06/05 02:30:00 428.456250 
    2016/06/05 02:45:00 428.453083 
    2016/06/05 03:00:00 428.453500 
    2016/06/05 03:15:00 428.453500 
    2016/06/05 03:30:00 428.457000 
    2016/06/05 03:45:00 428.458750 
    2016/06/05 04:00:00 428.457000 
    2016/06/05 04:15:00 428.455667 
    2016/06/05 04:30:00 428.455250 
    2016/06/05 04:45:00 428.454083 
    2016/06/05 05:00:00 428.450750 
    2016/06/05 05:15:00 428.454500 
    2016/06/05 05:30:00 428.454833 
    2016/06/05 05:45:00 428.453750 
    2016/06/05 06:00:00 428.454750 
    2016/06/05 06:15:00 428.453583 
    2016/06/05 06:30:00 428.451667 
    2016/06/05 06:45:00 428.451250 
    2016/06/05 07:00:00 428.451083 
    2016/06/05 07:15:00 428.452250 
    2016/06/05 07:30:00 428.454750 
    2016/06/05 07:45:00 428.453917 
    2016/06/05 08:00:00 428.452667 
    2016/06/05 08:15:00 428.450500 
    2016/06/05 08:30:00 428.449500 
    2016/06/05 08:45:00 428.447250 
    2016/06/05 09:00:00 428.447250 
    2016/06/05 09:15:00 428.448250 
    2016/06/05 09:30:00 428.445583 
    2016/06/05 09:45:00 428.444750 
    2016/06/05 10:00:00 428.441667 
    2016/06/05 10:15:00 428.438917 
    2016/06/05 10:30:00 428.440250 
    2016/06/05 10:45:00 428.435917 
    2016/06/05 11:00:00 428.432750 
    2016/06/05 11:15:00 428.433500 
    2016/06/05 11:30:00 428.433667 
    2016/06/05 11:45:00 428.436833 
    2016/06/05 12:00:00 428.437000 
    2016/06/05 12:15:00 428.434250 
    2016/06/05 12:30:00 428.433667 
