----------------------------------------------
PZ-CC TotHead [m]: 
    2016/06/04 12:00:00 428.606000 
    2016/06/04 12:15:00 428.602500 
    2016/06/04 12:30:00 428.597250 
    2016/06/04 12:45:00 428.600750 
    2016/06/04 13:00:00 428.598750 
    2016/06/04 13:15:00 428.594750 
    2016/06/04 13:30:00 428.600750 
    2016/06/04 13:45:00 428.598250 
    2016/06/04 14:00:00 428.596500 
    2016/06/04 14:15:00 428.598250 
    2016/06/04 14:30:00 428.600500 
    2016/06/04 14:45:00 428.598750 
    2016/06/04 15:00:00 428.597250 
    2016/06/04 15:15:00 428.595500 
    2016/06/04 15:30:00 428.593500 
    2016/06/04 15:45:00 428.596750 
    2016/06/04 16:00:00 428.595250 
    2016/06/04 16:15:00 428.595500 
    2016/06/04 16:30:00 428.595250 
    2016/06/04 16:45:00 428.595250 
    2016/06/04 17:00:00 428.598750 
    2016/06/04 17:15:00 428.600750 
    2016/06/04 17:30:00 428.595250 
    2016/06/04 17:45:00 428.597000 
    2016/06/04 18:00:00 428.596000 
    2016/06/04 18:15:00 428.597750 
    2016/06/04 18:30:00 428.596000 
    2016/06/04 18:45:00 428.597750 
    2016/06/04 19:00:00 428.597750 
    2016/06/04 19:15:00 428.597750 
    2016/06/04 19:30:00 428.599750 
    2016/06/04 19:45:00 428.597750 
    2016/06/04 20:00:00 428.600500 
    2016/06/04 20:15:00 428.598750 
    2016/06/04 20:30:00 428.598500 
    2016/06/04 20:45:00 428.598750 
    2016/06/04 21:00:00 428.598500 
    2016/06/04 21:15:00 428.598500 
    2016/06/04 21:30:00 428.598500 
    2016/06/04 21:45:00 428.598500 
    2016/06/04 22:00:00 428.600250 
    2016/06/04 22:15:00 428.598750 
    2016/06/04 22:30:00 428.598500 
    2016/06/04 22:45:00 428.600000 
    2016/06/04 23:00:00 428.597250 
    2016/06/04 23:15:00 428.601000 
    2016/06/04 23:30:00 428.602500 
    2016/06/04 23:45:00 428.599250 
    2016/06/05 00:00:00 428.599000 
    2016/06/05 00:15:00 428.601500 
    2016/06/05 00:30:00 428.603500 
    2016/06/05 00:45:00 428.599750 
    2016/06/05 01:00:00 428.599500 
    2016/06/05 01:15:00 428.599500 
    2016/06/05 01:30:00 428.599500 
    2016/06/05 01:45:00 428.603000 
    2016/06/05 02:00:00 428.599250 
    2016/06/05 02:15:00 428.601000 
    2016/06/05 02:30:00 428.599000 
