----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/04 04:30:00 428.516420 
    2016/06/04 04:45:00 428.516090 
    2016/06/04 05:00:00 428.517590 
    2016/06/04 05:15:00 428.515500 
    2016/06/04 05:30:00 428.518170 
    2016/06/04 05:45:00 428.517590 
    2016/06/04 06:00:00 428.518170 
    2016/06/04 06:15:00 428.520500 
    2016/06/04 06:30:00 428.514920 
    2016/06/04 06:45:00 428.518170 
    2016/06/04 07:00:00 428.519340 
    2016/06/04 07:15:00 428.515250 
    2016/06/04 07:30:00 428.515250 
    2016/06/04 07:45:00 428.517840 
    2016/06/04 08:00:00 428.519340 
    2016/06/04 08:15:00 428.517590 
    2016/06/04 08:30:00 428.515500 
    2016/06/04 08:45:00 428.515500 
    2016/06/04 09:00:00 428.519000 
    2016/06/04 09:15:00 428.515250 
    2016/06/04 09:30:00 428.517590 
    2016/06/04 09:45:00 428.512340 
    2016/06/04 10:00:00 428.511420 
    2016/06/04 10:15:00 428.512920 
    2016/06/04 10:30:00 428.511170 
    2016/06/04 10:45:00 428.512340 
    2016/06/04 11:00:00 428.510840 
    2016/06/04 11:15:00 428.512000 
    2016/06/04 11:30:00 428.516090 
    2016/06/04 11:45:00 428.512000 
    2016/06/04 12:00:00 428.515840 
    2016/06/04 12:15:00 428.514090 
    2016/06/04 12:30:00 428.508500 
    2016/06/04 12:45:00 428.512340 
    2016/06/04 13:00:00 428.513500 
    2016/06/04 13:15:00 428.506750 
    2016/06/04 13:30:00 428.512340 
    2016/06/04 13:45:00 428.508500 
    2016/06/04 14:00:00 428.509670 
    2016/06/04 14:15:00 428.507920 
    2016/06/04 14:30:00 428.507090 
    2016/06/04 14:45:00 428.508840 
    2016/06/04 15:00:00 428.507340 
    2016/06/04 15:15:00 428.505590 
    2016/06/04 15:30:00 428.506170 
    2016/06/04 15:45:00 428.507090 
    2016/06/04 16:00:00 428.503250 
    2016/06/04 16:15:00 428.508170 
    2016/06/04 16:30:00 428.505590 
    2016/06/04 16:45:00 428.500920 
    2016/06/04 17:00:00 428.508840 
    2016/06/04 17:15:00 428.509090 
    2016/06/04 17:30:00 428.507920 
    2016/06/04 17:45:00 428.507340 
    2016/06/04 18:00:00 428.509420 
    2016/06/04 18:15:00 428.506500 
    2016/06/04 18:30:00 428.507090 
    2016/06/04 18:45:00 428.506500 
    2016/06/04 19:00:00 428.510250 
    2016/06/04 19:15:00 428.510250 
    2016/06/04 19:30:00 428.506170 
    2016/06/04 19:45:00 428.508840 
    2016/06/04 20:00:00 428.510590 
    2016/06/04 20:15:00 428.510840 
    2016/06/04 20:30:00 428.512340 
    2016/06/04 20:45:00 428.505590 
    2016/06/04 21:00:00 428.508250 
    2016/06/04 21:15:00 428.507340 
    2016/06/04 21:30:00 428.508250 
    2016/06/04 21:45:00 428.508250 
    2016/06/04 22:00:00 428.510590 
    2016/06/04 22:15:00 428.510250 
    2016/06/04 22:30:00 428.508250 
    2016/06/04 22:45:00 428.509420 
    2016/06/04 23:00:00 428.507090 
    2016/06/04 23:15:00 428.508250 
    2016/06/04 23:30:00 428.514090 
    2016/06/04 23:45:00 428.510250 
    2016/06/05 00:00:00 428.510250 
    2016/06/05 00:15:00 428.511750 
    2016/06/05 00:30:00 428.514920 
    2016/06/05 00:45:00 428.513170 
    2016/06/05 01:00:00 428.512920 
    2016/06/05 01:15:00 428.510590 
    2016/06/05 01:30:00 428.510250 
    2016/06/05 01:45:00 428.512590 
    2016/06/05 02:00:00 428.506750 
    2016/06/05 02:15:00 428.510250 
    2016/06/05 02:30:00 428.508500 
    2016/06/05 02:45:00 428.509920 
    2016/06/05 03:00:00 428.511670 
    2016/06/05 03:15:00 428.509670 
    2016/06/05 03:30:00 428.509670 
    2016/06/05 03:45:00 428.507920 
    2016/06/05 04:00:00 428.510250 
    2016/06/05 04:15:00 428.511420 
    2016/06/05 04:30:00 428.507920 
    2016/06/05 04:45:00 428.508500 
    2016/06/05 05:00:00 428.506170 
    2016/06/05 05:15:00 428.508500 
    2016/06/05 05:30:00 428.506750 
    2016/06/05 05:45:00 428.508500 
    2016/06/05 06:00:00 428.510250 
    2016/06/05 06:15:00 428.507920 
    2016/06/05 06:30:00 428.507920 
    2016/06/05 06:45:00 428.505000 
    2016/06/05 07:00:00 428.507340 
    2016/06/05 07:15:00 428.505000 
    2016/06/05 07:30:00 428.501170 
    2016/06/05 07:45:00 428.502670 
    2016/06/05 08:00:00 428.500340 
    2016/06/05 08:15:00 428.502340 
    2016/06/05 08:30:00 428.497090 
    2016/06/05 08:45:00 428.500340 
    2016/06/05 09:00:00 428.498250 
    2016/06/05 09:15:00 428.498250 
