Specific discharge calculated as: THETA    *  SAT   *    VZ (from the obsPoints.out file). NaN may mean q is variable through the column, an unrealistic numerical result of the model.
6/1/2016 1:01:52,2.3094885E-83
6/1/2016 1:04:16,2.30937675E-83
6/1/2016 1:07:09,2.30924325E-83
6/1/2016 1:10:36,2.30908125E-83
6/1/2016 1:11:52,2.3090265E-83
6/1/2016 1:14:16,2.30886375E-83
6/1/2016 1:17:09,2.30871975E-83
6/1/2016 1:20:36,2.308563E-83
6/1/2016 1:21:52,2.30849775E-83
6/1/2016 1:24:16,2.30835675E-83
6/1/2016 1:27:09,2.3081745E-83
6/1/2016 1:30:36,2.30797875E-83
6/1/2016 1:31:52,2.30791125E-83
6/1/2016 1:34:16,2.30775675E-83
6/1/2016 1:37:09,2.30756625E-83
6/1/2016 1:40:36,2.3073615E-83
6/1/2016 1:41:52,2.30729325E-83
6/1/2016 1:44:16,2.3071005E-83
6/1/2016 1:47:09,2.306934E-83
6/1/2016 1:50:36,2.30674275E-83
6/1/2016 1:51:52,2.30666625E-83
6/1/2016 1:54:16,2.388879E-83
6/1/2016 1:57:09,2.388732E-83
6/1/2016 2:00:36,2.38854675E-83
6/1/2016 2:01:52,2.388477E-83
6/1/2016 2:04:16,2.3334555E-83
6/1/2016 2:07:09,2.33330175E-83
6/1/2016 2:10:36,2.33313075E-83
6/1/2016 2:11:52,2.33307E-83
6/1/2016 2:14:16,2.27804175E-83
6/1/2016 2:17:09,2.27787375E-83
6/1/2016 2:20:36,2.27769675E-83
6/1/2016 2:21:52,2.27763375E-83
6/1/2016 2:24:16,2.27747625E-83
6/1/2016 2:27:09,2.27730375E-83
6/1/2016 2:30:36,2.27711175E-83
6/1/2016 2:31:52,2.2770435E-83
6/1/2016 2:34:16,2.38661325E-83
6/1/2016 2:37:09,2.386419E-83
6/1/2016 2:40:36,2.38621125E-83
6/1/2016 2:41:52,2.38613775E-83
6/1/2016 2:44:16,2.4682575E-83
6/1/2016 2:47:09,2.4680985E-83
6/1/2016 2:50:36,2.46789825E-83
6/1/2016 2:51:52,2.46782925E-83
6/1/2016 2:54:16,2.3306115E-83
6/1/2016 2:57:09,2.33046075E-83
6/1/2016 3:00:36,2.3302905E-83
6/1/2016 3:01:52,2.33023275E-83
6/1/2016 3:04:16,2.35752E-83
6/1/2016 3:07:09,2.3573895E-83
6/1/2016 3:10:36,2.3572335E-83
6/1/2016 3:11:52,2.35717875E-83
6/1/2016 3:14:16,2.411853E-83
6/1/2016 3:17:09,2.41170375E-83
6/1/2016 3:20:36,2.41152825E-83
6/1/2016 3:21:52,2.411466E-83
6/1/2016 3:24:16,2.41127775E-83
6/1/2016 3:27:09,2.41113E-83
6/1/2016 3:30:36,2.41094925E-83
6/1/2016 3:31:52,2.41087575E-83
6/1/2016 3:34:16,2.410626E-83
6/1/2016 3:37:09,2.410425E-83
6/1/2016 3:40:36,2.41020525E-83
6/1/2016 3:41:52,2.410113E-83
6/1/2016 3:44:16,2.38260975E-83
6/1/2016 3:47:09,2.382411E-83
6/1/2016 3:50:36,2.38220625E-83
6/1/2016 3:51:52,2.3821335E-83
6/1/2016 3:54:16,2.4093405E-83
6/1/2016 3:57:09,2.409195E-83
6/1/2016 4:00:36,2.409009E-83
6/1/2016 4:01:52,2.40893775E-83
6/1/2016 4:04:16,2.4087855E-83
6/1/2016 4:07:09,2.4086355E-83
6/1/2016 4:10:36,2.4084555E-83
6/1/2016 4:11:52,2.40838425E-83
6/1/2016 4:14:16,2.3809095E-83
6/1/2016 4:17:09,2.38075575E-83
6/1/2016 4:20:36,2.3805885E-83
6/1/2016 4:21:52,2.380527E-83
6/1/2016 4:24:16,2.43513E-83
6/1/2016 4:27:09,2.43500175E-83
6/1/2016 4:30:36,2.43483975E-83
6/1/2016 4:31:52,2.43478275E-83
6/1/2016 4:34:16,2.40729825E-83
6/1/2016 4:37:09,2.40713025E-83
6/1/2016 4:40:36,2.406957E-83
6/1/2016 4:41:52,2.40689325E-83
6/1/2016 4:44:16,2.32473225E-83
6/1/2016 4:47:09,2.32457775E-83
6/1/2016 4:50:36,2.324418E-83
6/1/2016 4:51:52,2.3243595E-83
6/1/2016 4:54:16,2.324226E-83
6/1/2016 4:57:09,2.32407075E-83
6/1/2016 5:00:36,2.323902E-83
6/1/2016 5:01:52,2.32383975E-83
6/1/2016 5:04:16,2.405691E-83
6/1/2016 5:07:09,2.40554625E-83
6/1/2016 5:10:36,2.405337E-83
6/1/2016 5:11:52,2.40526725E-83
6/1/2016 5:14:16,2.487114E-83
6/1/2016 5:17:09,2.48697225E-83
6/1/2016 5:20:36,2.486787E-83
6/1/2016 5:21:52,2.4867225E-83
6/1/2016 5:24:16,2.5139175E-83
6/1/2016 5:27:09,2.5137825E-83
6/1/2016 5:30:36,2.5136205E-83
6/1/2016 5:31:52,2.513562E-83
6/1/2016 5:34:16,2.458818E-83
6/1/2016 5:37:09,2.45868E-83
6/1/2016 5:40:36,2.458527E-83
6/1/2016 5:41:52,2.45847375E-83
6/1/2016 5:44:16,2.40374775E-83
6/1/2016 5:47:09,2.40361875E-83
6/1/2016 5:50:36,2.403477E-83
6/1/2016 5:51:52,2.40342825E-83
6/1/2016 5:54:16,2.4306E-83
6/1/2016 5:57:09,2.4304785E-83
6/1/2016 6:00:36,2.43030825E-83
6/1/2016 6:01:52,2.4302505E-83
6/1/2016 6:04:16,2.375532E-83
6/1/2016 6:07:09,2.37539325E-83
6/1/2016 6:10:36,2.37524325E-83
6/1/2016 6:11:52,2.37518925E-83
6/1/2016 6:14:16,2.34774675E-83
6/1/2016 6:17:09,2.3475645E-83
6/1/2016 6:20:36,2.3473845E-83
6/1/2016 6:21:52,2.3473185E-83
6/1/2016 6:24:16,2.4290775E-83
6/1/2016 6:27:09,2.42895375E-83
6/1/2016 6:30:36,2.4288015E-83
6/1/2016 6:31:52,2.4287475E-83
6/1/2016 6:34:16,2.428656E-83
6/1/2016 6:37:09,2.42853375E-83
6/1/2016 6:40:36,2.42841075E-83
6/1/2016 6:41:52,2.428365E-83
6/1/2016 6:44:16,2.4009105E-83
6/1/2016 6:47:09,2.40075375E-83
6/1/2016 6:50:36,2.4005895E-83
6/1/2016 6:51:52,2.400522E-83
6/1/2016 6:54:16,2.373111E-83
6/1/2016 6:57:09,2.37295425E-83
6/1/2016 7:00:36,2.372793E-83
6/1/2016 7:01:52,2.37273E-83
6/1/2016 7:04:16,2.31814875E-83
6/1/2016 7:07:09,2.31802575E-83
6/1/2016 7:10:36,2.31789225E-83
6/1/2016 7:11:52,2.3178525E-83
6/1/2016 7:14:16,2.3177295E-83
